study_x,plot,tree,unique_id,tph,age,volume_m,predicted_volume_m,model
RH,1110,57,RH-1110-57,618,9,0.241501249,0.226747935,RF
RH,1110,57,RH-1110-57,618,10,0.278140467,0.246376091,RF
RH,1110,57,RH-1110-57,618,11,0.32582663,0.317368602,RF
RH,1110,57,RH-1110-57,618,12,0.386441796,0.341937786,RF
RH,1110,57,RH-1110-57,618,13,0.43288997,0.440809161,RF
RH,1110,57,RH-1110-57,618,14,0.502076112,0.464721291,RF
RH,1110,57,RH-1110-57,618,15,0.533126789,0.512393347,RF
RH,1110,58,RH-1110-58,618,9,0.214249709,0.211405399,RF
RH,1110,58,RH-1110-58,618,10,0.241501249,0.233305031,RF
RH,1110,58,RH-1110-58,618,11,0.30148184,0.298370168,RF
RH,1110,58,RH-1110-58,618,12,0.351159544,0.329101711,RF
RH,1110,58,RH-1110-58,618,13,0.414004217,0.413454092,RF
RH,1110,58,RH-1110-58,618,14,0.471850438,0.435745584,RF
RH,1110,58,RH-1110-58,618,15,0.471850438,0.483509236,RF
RH,1110,59,RH-1110-59,618,9,0.263143429,0.244104918,RF
RH,1110,59,RH-1110-59,618,10,0.309485951,0.283763834,RF
RH,1110,59,RH-1110-59,618,11,0.351159544,0.338194138,RF
RH,1110,59,RH-1110-59,618,12,0.414004217,0.401136965,RF
RH,1110,59,RH-1110-59,618,13,0.471850438,0.472756457,RF
RH,1110,59,RH-1110-59,618,14,0.52268703,0.500074635,RF
RH,1110,59,RH-1110-59,618,15,0.575748263,0.568155943,RF
RH,1110,60,RH-1110-60,618,9,0.285808538,0.255689289,RF
RH,1110,60,RH-1110-60,618,10,0.32582663,0.294403534,RF
RH,1110,60,RH-1110-60,618,11,0.377462249,0.362330733,RF
RH,1110,60,RH-1110-60,618,12,0.442482998,0.409432276,RF
RH,1110,60,RH-1110-60,618,13,0.49190749,0.502325988,RF
RH,1110,60,RH-1110-60,618,14,0.564966325,0.531081726,RF
RH,1110,60,RH-1110-60,618,15,0.619678816,0.612232934,RF
RH,1110,61,RH-1110-61,618,9,0.071224258,0.070289913,RF
RH,1110,61,RH-1110-61,618,10,0.078106803,0.073229818,RF
RH,1110,61,RH-1110-61,618,11,0.089223416,0.087535626,RF
RH,1110,61,RH-1110-61,618,12,0.097172097,0.090270923,RF
RH,1110,61,RH-1110-61,618,13,0.101309875,0.10647657,RF
RH,1110,61,RH-1110-61,618,14,0.114384406,0.109190146,RF
RH,1110,61,RH-1110-61,618,15,0.118964908,0.116179611,RF
RH,1110,62,RH-1110-62,618,9,0.148815744,0.149915347,RF
RH,1110,62,RH-1110-62,618,10,0.188841767,0.17106528,RF
RH,1110,62,RH-1110-62,618,11,0.241501249,0.240210486,RF
RH,1110,62,RH-1110-62,618,12,0.285808538,0.266026315,RF
RH,1110,62,RH-1110-62,618,13,0.334162022,0.349306599,RF
RH,1110,62,RH-1110-62,618,14,0.386441796,0.368554351,RF
RH,1110,62,RH-1110-62,618,15,0.442482998,0.423753347,RF
